overview,original_title,poster_path
Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.Don't set him off.,John Wick,https://image.tmdb.org/t/p/original//fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg
"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.From J.K. Rowling's wizarding world.",Fantastic Beasts and Where to Find Them,https://image.tmdb.org/t/p/original//h6NYfVUyM6CDURtZSnBpz647Ldd.jpg
"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.One Way… One Fate… One Hero.",Harry Potter and the Deathly Hallows: Part 1,https://image.tmdb.org/t/p/original//iGoXIpQb7Pot00EEdwpwPajheZ5.jpg
"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.The celebration of a lifetime",Coco,https://image.tmdb.org/t/p/original//gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.In heroes we trust.",Captain America: The Winter Soldier,https://image.tmdb.org/t/p/original//tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg
"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.With great power comes great responsibility.",Spider-Man,https://image.tmdb.org/t/p/original//gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg
"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.After 700 years of doing what he was built for, he'll discover what he was meant for.",WALL·E,https://image.tmdb.org/t/p/original//hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg
"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.You don't know what you've got 'til it's...",Gone Girl,https://image.tmdb.org/t/p/original//qymaJhucquUwjpb8oiqynMeXnID.jpg
"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.From the smallest beginnings come the greatest legends.",The Hobbit: An Unexpected Journey,https://image.tmdb.org/t/p/original//yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg
"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.We Scare Because We Care.","Monsters, Inc.",https://image.tmdb.org/t/p/original//sgheSKxZkttIe8ONsf2sWXPgip3.jpg
"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.Hang on for the comedy that goes to infinity and beyond!",Toy Story,https://image.tmdb.org/t/p/original//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.(n. One who has returned, as if from the dead.)",The Revenant,https://image.tmdb.org/t/p/original//ji3ecJphATlVgWNY0B0RVXZizdf.jpg
"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.Who will win?",Batman v Superman: Dawn of Justice,https://image.tmdb.org/t/p/original//5UsK3grJvtQrtzEgqNlDljJW96w.jpg
"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?Life's greatest adventure is finding your place in the Circle of Life.",The Lion King,https://image.tmdb.org/t/p/original//sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.No gut, no glory",The Incredibles,https://image.tmdb.org/t/p/original//2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg
"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.Why are they here?",Arrival,https://image.tmdb.org/t/p/original//x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg
"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.Act like you own the place.",기생충,https://image.tmdb.org/t/p/original//7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.Delve into the darkness",Thor: The Dark World,https://image.tmdb.org/t/p/original//wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg
